log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
12.830062655392506,3.381140922153305,15.045,6.566,72.144,10.5,23.03538533272338,10.25567142670133,14.54,,43.0,2010,40,1.0051,False,True,False,False,False,False,True,False,False,False,739.8851594079408,646.935
12.880793601117515,3.381140922153305,14.224,6.671,73.088,9.1,23.19071261304671,10.35815226479126,12.0,,78.0,2015,45,1.0051,False,True,False,False,False,False,True,False,False,False,757.0566327290635,1109.472
12.312929541053004,7.562415029471035,38.264,7.081,63.449,56.6,,,,,,1970,0,1.0061,False,False,True,False,False,False,True,False,False,False,,
12.80104178790831,7.562415029471035,32.931,4.28,69.55,26.7,21.84582249085798,9.05227386864293,,4612.55,,1980,10,1.0061,False,False,True,False,False,False,True,False,False,False,629.5856475641157,
13.156606337460202,7.562415029471035,29.217,3.386,72.39,19.5,22.165418183382155,9.05122505537557,,15621.1,0.0,1990,20,1.0061,False,False,True,False,False,False,True,False,False,False,655.2181817586375,0.0
13.47504917526939,7.562415029471035,21.722,2.835,74.44,10.8,22.927456097483155,9.520497966943134,1.053,20014.7,6.15373,2000,30,1.0061,False,False,True,False,False,False,True,False,False,False,708.7058686592469,133.67132306000002
14.009138786091711,7.562415029471035,16.547,2.327,76.057,7.3,23.970274204713235,9.93895604258907,1.13,18038.3,55.0,2010,40,1.0061,False,False,True,False,False,False,True,False,False,False,755.9271797311968,910.085
14.124569018700527,7.562415029471035,15.096,2.346,76.762,6.5,24.161306106975882,10.029631097092327,1.076,,93.4783,2015,45,1.0061,False,False,True,False,False,False,True,False,False,False,769.8945422750012,1411.1484168000002
18.028258111778506,7.0562054560590255,47.217,19.001,46.942,148.9,22.9196811980666,4.941663850951144,,,,1970,0,1.0108,False,False,False,False,True,False,False,False,True,False,231.9715844913486,
18.24549087610275,7.0562054560590255,43.039,14.444,52.9,133.6,23.621275021971787,5.428257317660237,,19.1111,,1980,10,1.0108,False,False,False,False,True,False,False,False,True,False,287.15481210422655,
